agyID,agyAbbrev,agyName,GGE_E85,GGE_GAS,GGE_GASE85,GGE_OTHER,GGE_TOTAL,GHG_E85,GHG_GAS,GHG_GASE85,GHG_OTHER,GHG_TOTAL,VEHCNT_E85,VEHCNT_GAS,VEHCNT_GASE85,VEHCNT_OTHER,VEHCNT_TOTAL,GGE_PER_VEH_E85,GGE_PER_VEH_GAS,GGE_PER_VEH_GASE85,GGE_PER_VEH_OTHER,GGE_PER_VEH_TOTAL,GHG_PER_VEH_E85,GHG_PER_VEH_GAS,GHG_PER_VEH_GASE85,GHG_PER_VEH_OTHER,GHG_PER_VEH_TOTAL,AVG Utilization
9,ARMY,Department of Army,1894616,22528664,24423280,5804257,30227537,3513717.594,199587907.3,203101624.9,46444909.7,249451569.3,23655,23614,47269,10114,57383,80.09367998,954.0384518,516.6870465,573.8834289,526.7681543,148.5401646,8452.100759,4296.719307,4592.140568,4347.133633,0.1550139113
13067,BBG,Broadcasting Board of Governors,68,3959,4027,157,4184,126.1114628,35073.9185,35200.02996,1266.327794,36462.94934,5,23,28,4,32,13.6,172.1304348,143.8214286,39.25,130.75,25.22229257,1524.952978,1257.143927,316.5819485,1139.467167,0.09456170847
406,CPSC,Consumer Product Safety Commission,1044,20886,21930,245,22175,1936.181874,185035.075,186971.2568,1976.116621,188895.0442,34,56,90,1,91,30.70588235,372.9642857,243.6666667,245,243.6813187,56.94652571,3304.197767,2077.458409,1976.116621,2075.769717,0.126015933
60392,CSOSA,Court Services and Offender Supervision Agency,1929,8990,10919,5,10924,3577.485484,79644.99301,83222.47849,40.32890233,83166.1186,13,63,76,0,76,148.3846154,142.6984127,143.6710526,NULL,143.7368421,275.191191,1264.206238,1095.032612,NULL,1094.291034,1.03280802
7,DA,Defense Agencies,91301,1477275,1568576,350347,1918923,169325.04,13087603.68,13256928.72,2810545.484,16062897.85,2490,2179,4669,812,5481,36.66706827,677.9600734,335.9554508,431.4618227,350.104543,68.00202408,6006.243082,2839.350764,3461.262911,2930.650948,0.1091426503
10,DAF,Department of Air Force,1404805,8884800,10289605,3913849,14203454,2605323.741,78712995.98,81318319.72,29747862.39,110995768,11565,14761,26326,12512,38838,121.4703848,601.9104397,390.8533389,312.8076247,365.7102322,225.276588,5332.497526,3088.897657,2377.546547,2857.916678,0.3107825179
52888,DHS,Department of Homeland Security,602601,31463400,32066001,3291265,35357266,1117571.97,278743300.7,279860872.6,26545752.9,306376420.9,19146,28408,47554,4582,52136,31.47398935,1107.55421,674.3071245,718.3031427,678.1737379,58.37104199,9812.14097,5885.117396,5793.48601,5876.484979,0.04667604449
8,DOA,Department of Agriculture,320316,18773384,19093700,3009209,22102909,594051.7574,166318802.8,166912854.6,24272362.25,191169161.4,13456,23010,36466,3484,39950,23.80469679,815.8793568,523.6028081,863.7224455,553.2643054,44.14772276,7228.10964,4577.218631,6966.808912,4785.210548,0.04546327182
11,DOC,Department of Commerce,68060,722951,791011,76029,867040,126222.7382,6404830.627,6531053.365,612871.8553,7140513.795,874,827,1701,155,1856,77.87185355,874.185006,465.0270429,490.5096774,467.1551724,144.4196089,7744.656139,3839.537546,3954.01197,3847.259588,0.167456613
12,DOE,Department of Energy,1593408,3563821,5157229,3115747,8272976,2955103.157,31572914.2,34528017.35,24006400.27,58454549.97,6895,4147,11042,2960,14002,231.0961566,859.3732819,467.0556964,1052.61723,590.8424511,428.5863898,7613.434819,3126.971323,8110.270363,4174.728608,0.4947935726
412,DOED,Department of Education,3796,44735,48531,0,48531,7039.986985,396320.2183,403360.2052,0,403169.9353,51,42,93,0,93,74.43137255,1065.119048,521.8387097,NULL,521.8387097,138.0389605,9436.195673,4337.206508,NULL,4335.160595,0.1426329078
15,DOI,Department of the Interior,307540,12692780,13000320,4449499,17449819,570357.639,112448984.9,113019342.5,35772469.46,148776396.9,8687,17745,26432,7063,33495,35.40232531,715.2876867,491.8401937,629.9729577,520.9678758,65.65645666,6336.939133,4275.852851,5064.769851,4441.749423,0.07197932533
16,DOJ,Department of Justice,1842249,18477753,20320002,1111430,21431432,3416598.785,163699722.9,167116321.6,8932406.802,175956387.9,11725,27254,38979,2395,41374,157.1214499,677.9831584,521.3063958,464.0626305,517.9927491,291.3943527,6006.447599,4287.342457,3729.60618,4252.825154,0.3013994288
17,DOL,Department of Labor,124393,2271310,2395703,472443,2868146,230696.8128,20122187.88,20352884.7,3698336.866,24044986.51,2097,1401,3498,498,3996,59.31950405,1621.206281,684.8779302,948.6807229,717.7542543,110.0127862,14362.73225,5818.434733,7426.37925,6017.263892,0.08661325097
23,EEOC,Equal Employment Opportunity Commission,159,20775,20934,0,20934,294.878273,184051.6941,184346.5723,0,184338.6027,41,40,81,0,81,3.87804878,519.375,258.4444444,NULL,258.4444444,7.192153,4601.292352,2275.883609,NULL,2275.785218,0.01500534782
22,EPA,Environmental Protection Agency,45158,407754,452912,41068,493980,83749.13914,3612409.842,3696158.981,323852.702,4017748.193,453,451,904,100,1004,99.68653422,904.1108647,501.0088496,410.68,492.0119522,184.8766869,8009.77792,4088.671439,3238.52702,4001.741228,0.1989716036
26,FCC,Federal Communications Commission,16385,2867,19252,159,19411,30387.29894,25399.57675,55786.87568,1282.459347,56248.05668,75,19,94,0,94,218.4666667,150.8947368,204.8085106,NULL,206.5,405.1639858,1336.819829,593.4774009,NULL,598.3835817,1.066687444
98850,FHFA,Federal Housing Finance Agency,273,2212,2485,0,2485,506.3004331,19596.74355,20103.04398,0,20089.36019,5,2,7,0,7,54.6,1106,355,NULL,355,101.2600866,9798.371776,2871.863426,NULL,2869.908598,0.1538028169
107807,FMC,Federal Maritime Commission,874,0,874,0,874,1620.90322,0,1620.90322,0,1577.095026,9,0,9,0,9,97.11111111,NULL,97.11111111,NULL,97.11111111,180.1003578,NULL,180.1003578,NULL,175.2327806,1
33,GPO,Government Printing Office,0,8832,8832,4435,13267,0,78245.22561,78245.22561,35771.74381,114016.9694,1,36,37,5,42,0,245.3333333,238.7027027,887,315.8809524,0,2173.478489,2114.735827,7154.348762,2714.689748,0
32,GSA,General Services Administration,4516,253428,257944,3218,261162,8375.284823,2245191.467,2253566.752,25954.59807,2279294.991,409,572,981,12,993,11.04156479,443.0559441,262.9398573,268.1666667,263.0030211,20.47746901,3925.159907,2297.213814,2162.883172,2295.362528,0.04199273897
13,HHS,Department of Health and Human Services,100951,1429128,1530079,150330,1680409,187221.7403,12661055.57,12848277.31,1180369.824,14023587.09,2217,1943,4160,263,4423,45.53495715,735.5265054,367.8074519,571.5969582,379.9251639,84.4482365,6516.240643,3088.528199,4488.098189,3170.605265,0.1238010728
14,HUD,Department of Housing and Urban Development,535,149783,150318,0,150318,992.2004715,1326970.633,1327962.833,0,1327936.017,196,169,365,0,365,2.729591837,886.2899408,411.830137,NULL,411.830137,5.062247304,7851.897235,3638.254337,NULL,3638.180868,0.006627955537
108154,ITC,US International Trade Commission,0,469,469,0,469,0,4155.005753,4155.005753,0,4155.005753,0,2,2,0,2,NULL,234.5,234.5,NULL,234.5,NULL,2077.502877,2077.502877,NULL,2077.502877,#VALUE!
37,LOC,Library of Congress,0,5028,5028,3880,8908,0,44544.49664,44544.49664,31295.23471,75839.73135,4,4,8,5,13,0,1257,628.5,776,685.2307692,0,11136.12416,5568.062081,6259.046942,5833.825489,0
305,NARA,National Archives & Records Administration,3096,14369,17465,6807,24272,5741.780738,127299.0995,133040.8802,54855.3843,187741.0813,42,8,50,10,60,73.71428571,1796.125,349.3,680.7,404.5333333,136.7090652,15912.38744,2660.817605,5485.53843,3129.018021,0.2110343135
39,NASA,National Aeronautics and Space Administration,318021,455795,773816,197991,971807,589795.4957,4038018.864,4627814.36,1399535.171,6011409.112,1601,849,2450,878,3328,198.6389756,536.861013,315.8432653,225.5022779,292.0093149,368.3919398,4756.205965,1888.90382,1594.003612,1806.312834,0.6289162932
304,NATL GALLERY,National Gallery of Art,0,2986,2986,1283,4269,0,26453.83194,26453.83194,10348.39849,36802.23043,0,8,8,3,11,NULL,373.25,373.25,427.6666667,388.0909091,NULL,3306.728992,3306.728992,3449.466163,3345.657312,#VALUE!
